win,lose,probability
Los Angeles Lakers,Atlanta Hawks,0.88
Philadelphia 76ers,Brooklyn Nets,0.63
Denver Nuggets,New York Knicks,0.86
Sacramento Kings,Golden State Warriors,0.63
Washington Wizards,Detroit Pistons,0.56
Toronto Raptors,Cleveland Cavaliers,0.92
Houston Rockets,San Antonio Spurs,0.63
Miami Heat,Memphis Grizzlies,0.71
Milwaukee Bucks,Dallas Mavericks,0.62
Oklahoma City Thunder,Chicago Bulls,0.83
Portland Trail Blazers,Phoenix Suns,0.54
Sacramento Kings,Charlotte Hornets,0.64
Los Angeles Lakers,Indiana Pacers,0.8
New York Knicks,Atlanta Hawks,0.65
Brooklyn Nets,New Orleans Pelicans,0.56
Utah Jazz,Orlando Magic,0.6
Los Angeles Clippers,Phoenix Suns,0.74
Cleveland Cavaliers,Charlotte Hornets,0.53
Toronto Raptors,Detroit Pistons,0.86
Miami Heat,Philadelphia 76ers,0.53
Washington Wizards,Chicago Bulls,0.67
New Orleans Pelicans,Minnesota Timberwolves,0.65
Oklahoma City Thunder,Memphis Grizzlies,0.56
Denver Nuggets,Orlando Magic,0.62
Boston Celtics,Dallas Mavericks,0.56
Portland Trail Blazers,Golden State Warriors,0.76
Utah Jazz,Atlanta Hawks,0.76
Los Angeles Lakers,Milwaukee Bucks,0.61
Brooklyn Nets,San Antonio Spurs,0.67
Los Angeles Clippers,Houston Rockets,0.54
Memphis Grizzlies,Cleveland Cavaliers,0.67
Indiana Pacers,Sacramento Kings,0.59
Boston Celtics,Detroit Pistons,0.79
Toronto Raptors,Washington Wizards,0.83
Miami Heat,New York Knicks,0.83
Oklahoma City Thunder,Phoenix Suns,0.69
Dallas Mavericks,Philadelphia 76ers,0.51
Denver Nuggets,Minnesota Timberwolves,0.78
Orlando Magic,Portland Trail Blazers,0.59
New Orleans Pelicans,Golden State Warriors,0.66
Utah Jazz,Charlotte Hornets,0.82
Brooklyn Nets,Atlanta Hawks,0.73
Detroit Pistons,Chicago Bulls,0.58
Philadelphia 76ers,Washington Wizards,0.76
Milwaukee Bucks,New York Knicks,0.95
Memphis Grizzlies,Sacramento Kings,0.5
Los Angeles Clippers,San Antonio Spurs,0.83
Houston Rockets,Phoenix Suns,0.73
Portland Trail Blazers,Minnesota Timberwolves,0.61
Toronto Raptors,Dallas Mavericks,0.6
Boston Celtics,Charlotte Hornets,0.78
