WTeam,LTeam,WLoc
Indiana Pacers,Minnesota Timberwolves,H
Philadelphia 76ers,Chicago Bulls,H
Toronto Raptors,Washington Wizards,H
Memphis Grizzlies,Cleveland Cavaliers,H
Miami Heat,Oklahoma City Thunder,V
Atlanta Hawks,San Antonio Spurs,V
Dallas Mavericks,Portland Trail Blazers,H
Los Angeles Clippers,New Orleans Pelicans,V
Milwaukee Bucks,Brooklyn Nets,V
Phoenix Suns,Boston Celtics,V
Detroit Pistons,Atlanta Hawks,V
Philadelphia 76ers,New York Knicks,V
Chicago Bulls,Cleveland Cavaliers,H
Toronto Raptors,Minnesota Timberwolves,V
Golden State Warriors,Orlando Magic,H
Los Angeles Lakers,Houston Rockets,V
Oklahoma City Thunder,Portland Trail Blazers,H
Utah Jazz,Sacramento Kings,H
San Antonio Spurs,Miami Heat,H
Indiana Pacers,Denver Nuggets,V
Washington Wizards,Detroit Pistons,H
Toronto Raptors,Atlanta Hawks,V
Philadelphia 76ers,Brooklyn Nets,V
Orlando Magic,Charlotte Hornets,V
New York Knicks,Cleveland Cavaliers,V
Oklahoma City Thunder,Houston Rockets,V
New Orleans Pelicans,Memphis Grizzlies,V
Miami Heat,Sacramento Kings,H
Milwaukee Bucks,Chicago Bulls,H
Boston Celtics,Los Angeles Lakers,H
Denver Nuggets,Minnesota Timberwolves,V
San Antonio Spurs,Phoenix Suns,V
Utah Jazz,Indiana Pacers,H
Portland Trail Blazers,Golden State Warriors,H
Los Angeles Clippers,Dallas Mavericks,V
Detroit Pistons,Sacramento Kings,H
